booth,labor,liberals,greens,other,votes,location
Manuka (Early voting),0.3427894173421012,0.4062547790181985,0.14551154610796757,0.1054442575317327,13078.0,NaN
Mawson,0.3682539682539683,0.3126984126984127,0.12380952380952381,0.1952380952380952,630.0,"[149.09785, -35.35852]"
Melba,0.3511586452762923,0.2816399286987522,0.14260249554367202,0.22459893048128343,561.0,"[149.055771, -35.208294]"
Mobile,0.3926261319534282,0.23285899094437257,0.2315653298835705,0.14294954721862874,1546.0,NaN
Monash,0.3984,0.3776,0.0976,0.12640000000000007,625.0,"[149.090546, -35.414082]"
Narrabundah,0.41011984021304926,0.3022636484687084,0.15446071904127828,0.13315579227696395,751.0,"[149.150543, -35.329025]"
Ngunnawal,0.348326359832636,0.35355648535564854,0.1412133891213389,0.15690376569037656,956.0,"[149.1111, -35.16871]"
Nicholls,0.29500891265597146,0.4893048128342246,0.07040998217468805,0.14527629233511585,1122.0,"[149.10038, -35.18173]"
Oaks Estate,0.3212121212121212,0.3575757575757576,0.10909090909090909,0.21212121212121215,165.0,"[149.230563, -35.3422]"
Page,0.3713235294117647,0.25,0.12316176470588236,0.2555147058823529,544.0,"[149.04284, -35.24049]"
Palmerston,0.2971086739780658,0.4187437686939183,0.11266201395812563,0.1714855433698903,1003.0,"[149.120529, -35.197498]"
Pearce,0.36926889714993805,0.31474597273853777,0.11895910780669144,0.1970260223048328,807.0,"[149.08859, -35.36273]"
Postal,0.35520845706140874,0.38822900582016867,0.10292196222829314,0.1536405748901295,16838.0,NaN
Red Hill,0.3356401384083045,0.36562860438292966,0.16032295271049596,0.1384083044982699,867.0,"[149.13319, -35.33911]"
Richardson,0.4490358126721763,0.325068870523416,0.08539944903581267,0.14049586776859502,363.0,"[149.114243, -35.429218]"
Scullin,0.4365482233502538,0.18274111675126903,0.13959390862944163,0.24111675126903553,394.0,"[149.03841, -35.23256]"
Taylor,0.36597938144329895,0.39347079037800686,0.11855670103092783,0.12199312714776633,582.0,"[149.114337, -35.151216]"
Tharwa,0.22727272727272727,0.5,0.045454545454545456,0.2272727272727273,44.0,"[149.066921, -35.508937]"
Theodore,0.39855072463768115,0.40942028985507245,0.08152173913043478,0.11050724637681153,552.0,"[149.12326, -35.447224]"
Tuggeranong,0.4140021789588366,0.3714651129742788,0.11425323291175217,0.10027947515513236,21111.0,"[149.068625, -35.416916]"
Tuggeranong (Early voting),0.4137794299876084,0.37377942998760844,0.11400247831474597,0.09843866171003723,20175.0,NaN
Turner,0.3939105613701237,0.18839200761179828,0.2921027592768792,0.12559467174119876,1051.0,"[149.126114, -35.265213]"
Wanniassa,0.3295269168026101,0.4061990212071778,0.11908646003262642,0.14518760195758573,613.0,"[149.08566, -35.395275]"
Wanniassa Hills,0.4114906832298137,0.3090062111801242,0.15527950310559005,0.12422360248447206,644.0,"[149.09549, -35.392979]"
Waramanga,0.36347517730496454,0.2872340425531915,0.16134751773049646,0.1879432624113475,564.0,"[149.059372, -35.354439]"
Watson,0.35526315789473684,0.18653250773993807,0.31037151702786375,0.14783281733746145,1292.0,"[149.15465, -35.238582]"
Weetangera,0.38170731707317074,0.2951219512195122,0.13414634146341464,0.18902439024390238,820.0,"[149.047562, -35.251816]"
Weston Creek,0.3702282754651832,0.36619988490312677,0.11260310761557644,0.1509687320161135,15639.0,"[149.052064, -35.341953]"
Weston Creek (Early voting),0.36882412741443577,0.37045069467976954,0.11087766858691969,0.14984750931887503,14755.0,NaN
Woden,0.3753791823244442,0.34241861728618644,0.12179109883641961,0.1604111015529497,22087.0,"[149.088493, -35.34576]"
Woden (Early voting),0.37544651250235006,0.344331641285956,0.11961834931378079,0.1606034968979131,21276.0,NaN
Yarralumla,0.2633093525179856,0.42302158273381296,0.13093525179856116,0.1827338129496403,695.0,"[149.102264, -35.30661]"
