,booth,electorate,party,candidate,votes
0,Bonython,Brindabella,ACT Labor,"BURCH, Joy",41
1,Bonython,Brindabella,ACT Labor,"DAY, Cathy",15
2,Bonython,Brindabella,ACT Labor,"FORDE, Brendan",18
3,Bonython,Brindabella,ACT Labor,"GENTLEMAN, Mick",43
4,Bonython,Brindabella,ACT Labor,"WERNER-GIBBINGS, Taimus",48
5,Bonython,Brindabella,Animal Justice Party,"FAHIZ, Jannah",5
6,Bonython,Brindabella,Animal Justice Party,"SOXSMITH, Robyn",4
7,Bonython,Brindabella,Australian Federation Party Australian Capital Territory,"POTTER, Jason",3
8,Bonython,Brindabella,Australian Federation Party Australian Capital Territory,"SANDFORD, Scott",0
9,Bonython,Brindabella,Canberra Liberals,"DANIELS, James",14
10,Bonython,Brindabella,Canberra Liberals,"HIATT, Jane",20
11,Bonython,Brindabella,Canberra Liberals,"LAWDER, Nicole",30
12,Bonython,Brindabella,Canberra Liberals,"PARTON, Mark",47
13,Bonython,Brindabella,Canberra Liberals,"WALL, Andrew",33
14,Bonython,Brindabella,Liberal Democrats,"GOWOR, Jacob",4
15,Bonython,Brindabella,Liberal Democrats,"KNIGHT, Matthew",8
16,Bonython,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","BAYNHAM, Greg",9
17,Bonython,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","OLLEY, Adrian",6
18,Bonython,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"CLAPHAM, Andrew",2
19,Bonython,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"WILLETT, Bruce",6
20,Bonython,Brindabella,The ACT Greens,"DAVIS, Johnathan",21
21,Bonython,Brindabella,The ACT Greens,"ELLERMAN, Sue",5
22,Bonython,Brindabella,The ACT Greens,"NUTTALL, Laura",23
23,Bonython,Ginninderra,ACT Labor,"BERRY, Yvette",0
24,Bonython,Ginninderra,ACT Labor,"CHEYNE, Tara",0
25,Bonython,Ginninderra,ACT Labor,"DUCKER, Sue",0
26,Bonython,Ginninderra,ACT Labor,"LLOYD, Greg",0
27,Bonython,Ginninderra,ACT Labor,"RAMSAY, Gordon",0
28,Bonython,Ginninderra,Animal Justice Party,"DREW, Carolyne",0
29,Bonython,Ginninderra,Animal Justice Party,"DREW, Lara",0
30,Bonython,Ginninderra,Australian Climate Change Justice Party,"DEMETRIOS, Oksana",0
31,Bonython,Ginninderra,Australian Climate Change Justice Party,"NGEP, Sok Kheng",0
32,Bonython,Ginninderra,Australian Climate Change Justice Party,"STAVRIDIS, Jonathan",0
33,Bonython,Ginninderra,Belco Party,"DUBEY, Vijay",0
34,Bonython,Ginninderra,Belco Party,"HENRY, Chic",0
35,Bonython,Ginninderra,Belco Party,"LOUNT, Angela",0
36,Bonython,Ginninderra,Belco Party,"STEFANIAK, Bill",0
37,Bonython,Ginninderra,Belco Party,"TUTT, Alan",0
38,Bonython,Ginninderra,Canberra Liberals,"CAIN, Peter",0
39,Bonython,Ginninderra,Canberra Liberals,"GUNNING, Robert",0
40,Bonython,Ginninderra,Canberra Liberals,"KIKKERT, Elizabeth",0
41,Bonython,Ginninderra,Canberra Liberals,"LAM, Kacey",0
42,Bonython,Ginninderra,Canberra Liberals,"ROZARIO, Ignatius",0
43,Bonython,Ginninderra,Labour DLP,"McCLURE, Helen",0
44,Bonython,Ginninderra,Labour DLP,"McCLURE, Ian",0
45,Bonython,Ginninderra,Liberal Democrats,"DE LUCA, Dominic",0
46,Bonython,Ginninderra,Liberal Democrats,"JAKEMAN, Guy",0
47,Bonython,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","OGILVIE, Matthew",0
48,Bonython,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","SMITH, Oliver",0
49,Bonython,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"GABRIEL, Paul",0
50,Bonython,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"O'CONNOR, Mark",0
