candidate,party,counts,electorate
Patrick PENTONY,Canberra Liberals,"[2384, 2402.584017, 2402.584017, 2402.584017, 2406.584017, 2406.584017, 2407.584017, 2407.584017, 2409.584017, 2409.828544, 2411.828544, 2411.828544, 2412.828544, 2413.073071, 2415.073071, 2415.073071, 2416.073071, 2416.317598, 2418.317598, 2418.806651, 2425.806651, 2426.051178, 2446.051178, 2446.051178, 2645.051178, 2645.540231, 2658.540231, 2659.029284, 2708.029284, 2708.029284, 2715.029284, 2715.273811, 2722.273811, 2722.518338, 2739.518338, 2740.496444, 3338.496444, 3339.963603, 3445.963603, 3446.20813, 3447.348685, 3525.348685, 3525.348685, 3532.684481, 32.684481, 31.543926, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Robert JOHNSON,Canberra Liberals,"[1628, 1640.71538, 1640.71538, 1640.71538, 1644.71538, 1644.71538, 1644.71538, 1644.71538, 1647.71538, 1647.71538, 1650.71538, 1651.204433, 1653.204433, 1653.204433, 1658.204433, 1658.693486, 1665.693486, 1665.693486, 1667.693486, 1667.693486, 1675.693486, 1675.938013, 1699.938013, 1699.938013, 1890.938013, 1890.938013, 1913.938013, 1914.671593, 1956.671593, 1956.91612, 1965.91612, 1965.91612, 1984.91612, 1985.405173, 2001.405173, 2003.850438, 17.850438, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Alvin HOPPER,The Community Action Party (ACT),"[108, 109.467159, 149.467159, 149.467159, 1.467159, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Robyn WILLIAMS,The Community Action Party (ACT),"[75, 79.156951, 4.156951, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Rachel STEPHEN-SMITH,ACT Labor,"[2786, 3708.354086, 3709.354086, 3709.354086, 3717.354086, 3717.354086, 3723.354086, 3723.598613, 3725.598613, 3725.84314, 3731.84314, 3732.332193, 3734.332193, 3734.332193, 3745.332193, 3745.57672, 3748.57672, 3750.288406, 3755.288406, 3756.021986, 3782.021986, 3783.489145, 3806.489145, 3807.467251, 3838.467251, 3838.711778, 3851.711778, 3853.66799, 3893.66799, 3894.890623, 3952.890623, 3953.868729, 4050.868729, 4056.981892, 4559.981892, 4669.285253, 4692.285253, 4694.485992, 4923.485992, 4928.865576, 4960.230852, 5936.230852, 5938.511963, 6214.58242, 6270.58242, 6270.58242, 6275.228424, 8983.228424, 8983.228424, 8983.228424, 8434, 8434, 8434, 8434, 8434, 8434]",kurrajong
Judy ANDERSON,ACT Labor,"[1371, 1655.384359, 1657.384359, 1657.384359, 1658.384359, 1658.384359, 1659.384359, 1660.117939, 1660.117939, 1660.362466, 1667.362466, 1667.362466, 1676.362466, 1676.851519, 1677.851519, 1678.096046, 1681.096046, 1681.829626, 1687.829626, 1687.829626, 1708.829626, 1709.318679, 1717.318679, 1718.296785, 1725.296785, 1726.030365, 1765.030365, 1769.431843, 1793.431843, 1793.920896, 1827.920896, 1829.388055, 1862.388055, 1865.077847, 298.077847, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Andrew BARR,ACT Labor,"[11148, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434, 8434]",kurrajong
Jacob INGRAM,ACT Labor,"[1736, 2226.031174, 2228.031174, 2228.520227, 2231.520227, 2231.520227, 2232.520227, 2232.764754, 2233.764754, 2233.764754, 2238.764754, 2239.74286, 2243.74286, 2243.74286, 2249.74286, 2250.231913, 2262.231913, 2263.454546, 2268.454546, 2268.943599, 2286.943599, 2287.921705, 2312.921705, 2313.166232, 2327.166232, 2328.144338, 2347.144338, 2350.567709, 2378.567709, 2379.301289, 2402.301289, 2403.034869, 2430.034869, 2432.235608, 2757.235608, 2827.170197, 2860.170197, 2863.104515, 3038.104515, 3042.750519, 3056.437185, 594.437185, 580.750519, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Maddy NORTHAM,ACT Labor,"[2172, 2529.497793, 2530.497793, 2530.497793, 2533.497793, 2533.497793, 2535.497793, 2535.74232, 2542.74232, 2542.986847, 2543.986847, 2545.20948, 2547.20948, 2547.698533, 2548.698533, 2548.94306, 2559.94306, 2560.67664, 2571.67664, 2571.921167, 2601.921167, 2602.41022, 2636.41022, 2637.388326, 2644.388326, 2644.388326, 2675.388326, 2677.833591, 2705.833591, 2707.056224, 2744.056224, 2745.278857, 2815.278857, 2818.213175, 3142.213175, 3214.593029, 3276.593029, 3278.549241, 3441.549241, 3445.950719, 3457.356274, 4278.356274, 4282.348218, 4494.108196, 4539.108196, 4539.108196, 4542.531567, 679.531567, 664.134068, 0, nan, nan, nan, nan, nan, nan]",kurrajong
Petar JOHNSON,Australian Climate Change Justice Party,"[156, 164.313902, 164.313902, 164.313902, 166.313902, 166.313902, 8.313902, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Sophia FORNER,Australian Climate Change Justice Party,"[209, 218.781061, 220.781061, 220.781061, 220.781061, 220.781061, 255.781061, 256.270114, 260.270114, 260.270114, 10.270114, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Alix O'HARA,Australian Climate Change Justice Party,"[195, 208.448959, 209.448959, 209.448959, 211.448959, 211.448959, 270.448959, 272.160645, 275.160645, 275.160645, 393.160645, 394.383278, 399.383278, 399.872331, 407.872331, 408.116858, 17.116858, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Peta Anne BRYANT,Canberra Progressives,"[472, 475.178845, 475.178845, 475.423372, 485.423372, 485.423372, 489.423372, 490.156952, 500.156952, 500.156952, 501.156952, 501.401479, 504.401479, 504.890532, 514.890532, 514.890532, 536.890532, 537.135059, 5.135059, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Therese FAULKNER,Canberra Progressives,"[901, 912.003694, 914.003694, 914.737274, 922.737274, 922.737274, 927.737274, 928.470854, 938.470854, 938.470854, 945.470854, 945.715381, 966.715381, 966.715381, 972.715381, 972.959908, 988.959908, 989.448961, 1180.448961, 1180.938014, 1221.938014, 1222.182541, 1312.182541, 1313.160647, 1319.160647, 1319.405174, 1344.405174, 1345.872333, 1493.872333, 1494.361386, 17.361386, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Tim BOHM,Canberra Progressives,"[1173, 1192.317596, 1195.317596, 1195.562123, 1208.562123, 1208.562123, 1212.562123, 1212.562123, 1225.562123, 1225.562123, 1230.562123, 1230.80665, 1257.80665, 1258.54023, 1267.54023, 1267.54023, 1299.54023, 1300.27381, 1440.27381, 1440.27381, 1491.27381, 1492.740969, 1581.740969, 1581.740969, 1585.740969, 1585.740969, 1598.740969, 1599.474549, 1897.474549, 1898.452655, 2743.452655, 2745.408867, 2777.408867, 2777.408867, 2807.408867, 2809.365079, 2837.365079, 2838.098659, 29.098659, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Julie SMITH,Animal Justice Party,"[447, 457.270114, 460.270114, 460.270114, 462.270114, 462.270114, 465.270114, 466.003694, 472.003694, 472.003694, 480.003694, 481.226327, 682.226327, 683.938013, 696.938013, 697.18254, 749.18254, 751.627805, 777.627805, 777.872332, 16.872332, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Serrin RUTLEDGE-PRIOR,Animal Justice Party,"[343, 349.113163, 349.113163, 349.113163, 352.113163, 352.113163, 353.113163, 353.113163, 359.113163, 359.113163, 365.113163, 365.113163, 6.113163, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Bruce PAINE,Ungrouped,"[693, 699.602216, 701.602216, 701.602216, 725.602216, 725.602216, 731.602216, 731.602216, 851.602216, 853.313902, 854.313902, 854.313902, 871.313902, 871.313902, 883.313902, 883.802955, 901.802955, 902.292008, 914.292008, 914.292008, 982.292008, 982.781061, 1106.781061, 1106.781061, 1115.781061, 1116.025588, 1117.025588, 1118.003694, 11.003694, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
Marilena DAMIANO,Ungrouped,"[221, 224.423371, 227.423371, 227.423371, 230.423371, 230.423371, 232.423371, 232.423371, 3.423371, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",kurrajong
exhausted,nan,"[0.0, 0.0, 2.0, 2.0, 5.0, 5.0, 6.0, 6.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 13.0, 13.0, 30.0, 30.0, 30.0, 30.0, 102.0, 102.0, 246.0, 247.0, 260.0, 260.0, 286.0, 287.0, 441.0, 442.0, 529.0, 532.0, 601.0, 606.0, 667.0, 671.0, 749.0, 753.0, 1328.0, 1335.0, 1335.0, 1536.0, 1539.0, 1566.0, 1805.0, 1806.0, 1815.0, 2317.0, 2324.0, 2746.0, 2746.0, 3649.0, 3653.0, 3663.0, 3727.0, 3727.0]",kurrajong
comment,nan,"['First preferences Andrew BARR elected 1.', ' Robyn WILLIAMS to be excluded.', ' Robyn WILLIAMS fully excluded.', ' Alvin HOPPER to be excluded.', ' Alvin HOPPER fully excluded.', ' Petar JOHNSON to be excluded.', ' Petar JOHNSON fully excluded.', ' Marilena DAMIANO to be excluded.', ' Marilena DAMIANO fully excluded.', ' Sophia FORNER to be excluded.', ' Sophia FORNER fully excluded.', ' Serrin RUTLEDGE-PRIOR to be excluded.', ' Serrin RUTLEDGE-PRIOR fully excluded.', ' John HAYDON to be excluded.', ' John HAYDON fully excluded.', "" Alix O'HARA to be excluded."", "" Alix O'HARA fully excluded."", ' Peta Anne BRYANT to be excluded.', ' Peta Anne BRYANT fully excluded.', ' Julie SMITH to be excluded.', ' Julie SMITH fully excluded.', ' Joy ANGEL to be excluded.', ' Joy ANGEL fully excluded.', ' Rattesh GUMBER to be excluded.', ' Rattesh GUMBER fully excluded.', ' Michael BREWER to be excluded.', ' Michael BREWER fully excluded.', ' Bruce PAINE to be excluded.', ' Bruce PAINE fully excluded.', ' Therese FAULKNER to be excluded.', ' Therese FAULKNER fully excluded.', ' Adriana BOISEN to be excluded.', ' Adriana BOISEN fully excluded.', ' Judy ANDERSON to be excluded.', ' Judy ANDERSON fully excluded.', ' Robert JOHNSON to be excluded.', ' Robert JOHNSON fully excluded.', ' Tim BOHM to be excluded.', ' Shane RATTENBURY elected 2. Tim BOHM fully excluded.', nan, ' Jacob INGRAM to be excluded.', ' Jacob INGRAM partially excluded.', ' Jacob INGRAM fully excluded.', ' Patrick PENTONY to be excluded.', ' Patrick PENTONY partially excluded.', ' Patrick PENTONY fully excluded.', ' Maddy NORTHAM to be excluded.', ' Rachel STEPHEN-SMITH elected 3. Maddy NORTHAM partially excluded.', ' Maddy NORTHAM fully excluded.', nan, ' Candice BURCH to be excluded.', ' Elizabeth LEE elected 4. Candice BURCH partially excluded.', ' Candice BURCH partially excluded.', ' Candice BURCH fully excluded.', nan, ' Rebecca VASSAROTTI elected 5.']",kurrajong
Edmund HANDBY,Animal Justice Party,"[464, 464, 466, 470, 471, 474, 476, 481, 489, 510, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Yana del VALLE,Animal Justice Party,"[613, 619, 619, 620, 623, 633, 637, 641, 649, 664, 882, 909, 961, 1090, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Jill MAIL,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[374, 376, 378, 389, 394, 400, 414, 422, 445, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Geoff BUCKMASTER,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[461, 464, 466, 467, 472, 477, 486, 488, 509, 770, 819, 851, 932, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Terry BAKER,The ACT Greens,"[982, 983, 983, 991, 1002, 1012, 1013, 1017, 1033, 1048, 1103, 1132, 1151, 1211, 1294, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Tjanara GORENG GORENG,The ACT Greens,"[1644, 1646, 1647, 1650, 1659, 1671, 1677, 1678, 1691, 1700, 1713, 1722, 1730, 1773, 1923, 2312, 2461, 2465, 2503, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Emma DAVIDSON,The ACT Greens,"[3677, 3684, 3686, 3694, 3703, 3716, 3723, 3726, 3744, 3767, 3829, 3886, 3893, 3990, 4200, 4720, 5014, 5056, 5123, 6988, 7171, 7190.827338, 7270.827338, 7271.201439, 7423.201439, 7423.57554, 7543.57554, 8131.57554, 8142.57554, 8173.251799, 9286.962675, 8960]",murrumbidgee
Gordon YEATMAN,"Shooters, Fishers and Farmers Party (ACT)","[339, 341, 343, 345, 346, 347, 351, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Mark GILMAYER,"Shooters, Fishers and Farmers Party (ACT)","[422, 424, 424, 424, 429, 430, 434, 699, 704, 711, 717, 718, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Brendan LONG,ACT Labor,"[1828, 1830, 1831, 1836, 1838, 1842, 1845, 1848, 1855, 1858, 1864, 1875, 1890, 1903, 1919, 1992, 2019, 2028, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Bec CODY,ACT Labor,"[3686, 3686, 3690, 3691, 3696, 3705, 3709, 3712, 3720, 3730, 3737, 3756, 3796, 3816, 3853, 3885, 3984, 4001, 4385, 4519, 5214, 5352.043165, 5424.043165, 5424.791366, 5559.791366, 5561.287769, 5641.287769, 220.287769, 140.287769, 0, nan, nan]",murrumbidgee
Chris STEEL,ACT Labor,"[7407, 7407, 7407, 7409, 7411, 7418, 7421, 7431, 7445, 7449, 7461, 7488, 7540, 7575, 7626, 7688, 7767, 7799, 8296, 8397, 9272, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960]",murrumbidgee
Marisa PATERSON,ACT Labor,"[4197, 4202, 4207, 4209, 4211, 4214, 4217, 4221, 4226, 4236, 4242, 4256, 4287, 4307, 4336, 4382, 4447, 4469, 4884, 4997, 5790, 5922.431655, 6024.431655, 6024.805756, 6219.805756, 6220.553957, 6327.553957, 10289.553957, 10289.553957, 10289.553957, 8960, 8960]",murrumbidgee
Tim DOBSON,ACT Labor,"[2264, 2266, 2267, 2269, 2270, 2271, 2274, 2277, 2279, 2286, 2293, 2305, 2324, 2342, 2366, 2407, 2462, 2470, 2793, 2868, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Rohan BYRNES,Australian Climate Change Justice Party,"[121, 131, 131, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Jackson HILLMAN,Australian Climate Change Justice Party,"[146, 159, 159, 181, 226, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Peter VEENSTRA,Australian Climate Change Justice Party,"[167, 179, 179, 200, 243, 361, 367, 368, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Richard FORNER,Australian Climate Change Justice Party,"[104, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Andrew DEMETRIOS,Australian Climate Change Justice Party,"[133, 153, 153, 177, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Amardeep SINGH,Canberra Liberals,"[3226, 3230, 3232, 3233, 3238, 3239, 3247, 3252, 3259, 3264, 3270, 3286, 3329, 3355, 3375, 3393, 3421, 3696, 3775, 3794, 3840, 3846.733813, 4933.733813, 4934.482014, 7.482014, 0, nan, nan, nan, nan, nan, nan]",murrumbidgee
Giulia JONES,Canberra Liberals,"[3535, 3535, 3539, 3541, 3543, 3547, 3559, 3560, 3567, 3569, 3572, 3580, 3625, 3648, 3676, 3683, 3709, 4229, 4282, 4300, 4339, 4343.863309, 5929.863309, 5929.863309, 9699.863309, 9699.863309, 8960, 8960, 8960, 8960, 8960, 8960]",murrumbidgee
Sarah SUINE,Canberra Liberals,"[1494, 1494, 1495, 1496, 1498, 1498, 1502, 1505, 1512, 1515, 1518, 1524, 1558, 1573, 1593, 1598, 1610, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Ed COCKS,Canberra Liberals,"[2658, 2661, 2662, 2664, 2668, 2670, 2678, 2688, 2701, 2703, 2710, 2720, 2800, 2825, 2855, 2866, 2900, 3163, 3188, 3195, 3229, 3234.23741, 5.23741, 0, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Jeremy HANSON,Canberra Liberals,"[8209, 8210, 8215, 8217, 8226, 8232, 8246, 8250, 8259, 8261, 8266, 8282, 8350, 8397, 8433, 8448, 8532, 8894, 8939, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960]",murrumbidgee
Stephen LIN,Canberra Progressives,"[614, 618, 626, 626, 628, 629, 640, 643, 662, 674, 691, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Robert KNIGHT,Canberra Progressives,"[837, 837, 841, 842, 842, 846, 859, 861, 876, 889, 896, 1243, 1269, 1392, 1487, 1502, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Brendan WHYTE,Ungrouped,"[243, 244, 286, 288, 288, 289, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
Fiona CARRICK,Ungrouped,"[3783, 3785, 3822, 3825, 3828, 3832, 3978, 3982, 4005, 4023, 4033, 4076, 4152, 4308, 4419, 4435, 4875, 4905, 4953, 5030, 5099, 5103.863309, 5202.863309, 5203.23741, 5398.23741, 5399.359712, 5759.359712, 5980.359712, 5988.359712, 5994.719424, 6210.562505, 6536.79114]",murrumbidgee
Lee PERREN-LEVERIDGE,Ungrouped,"[126, 126, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",murrumbidgee
exhausted,nan,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4.0, 124.0, 127.0, 138.0, 145.0, 167.0, 249.0, 399.0, 443.0, 553.0, 579.0, 633.0, 706.0, 840.0, 840.0, 1043.0, 1045.0, 1525.0, 1528.0, 1528.0, 2178.0, 2239.0, 2342.0, 2342.0, 2342.0]",murrumbidgee
comment,nan,"['First preferences Richard FORNER to be excluded.', ' Lee PERREN-LEVERIDGE to be excluded.', ' Rohan BYRNES to be excluded.', ' Andrew DEMETRIOS to be excluded.', ' Jackson HILLMAN to be excluded.', ' Brendan WHYTE to be excluded.', ' Gordon YEATMAN to be excluded.', ' Peter VEENSTRA to be excluded.', ' Jill MAIL to be excluded.', ' Edmund HANDBY to be excluded.', ' Stephen LIN to be excluded.', ' Mark GILMAYER to be excluded.', ' Geoff BUCKMASTER to be excluded.', ' Yana del VALLE to be excluded.', ' Terry BAKER to be excluded.', ' Robert KNIGHT to be excluded.', ' Sarah SUINE to be excluded.', ' Brendan LONG to be excluded.', ' Tjanara GORENG GORENG to be excluded.', ' Jeremy HANSON elected 1. Tim DOBSON to be excluded.', ' Chris STEEL elected 2.', ' Ed COCKS to be excluded.', ' Ed COCKS fully excluded.', ' Amardeep SINGH to be excluded.', ' Giulia JONES elected 3. Amardeep SINGH fully excluded.', nan, ' Bec CODY to be excluded.', ' Marisa PATERSON elected 4. Bec CODY partially excluded.', ' Bec CODY fully excluded.', nan, ' Emma DAVIDSON elected 5.', nan]",murrumbidgee
Bernie STRANG,Labour DLP,"[1039, 1041, 1044, 1049, 1050, 1057, 1059, 1064, 1087, 1100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Olivia HELMORE,Labour DLP,"[1478, 1482, 1486, 1487, 1489, 1490, 1494, 1513, 1542, 1564, 2067, 2108, 2108, 2155, 2155, 2187, 2187, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Krishna NADIMPALLI,Canberra Liberals,"[1899, 1901, 1901, 1903, 1909, 1911, 1919, 1927, 1938, 1951, 1996, 2027, 2027.717949, 2034.717949, 2034.717949, 0.717949, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
James MILLIGAN,Canberra Liberals,"[3834, 3840, 3842, 3844, 3852, 3858, 3862, 3878, 3910, 3943, 3997, 4027, 4030.589744, 4066.589744, 4066.589744, 4418.589744, 4418.589744, 4639.589744, 4904.589744, 4904.589744, 5006.589744, 6379.589744, 6380.666667, 6451.666667, 6451.666667, 6721.666667, 6721.666667, 6813.666667, 6896.666667, 6965.666667, 248.666667]",yerrabi
Jacob VADAKKEDATHU,Canberra Liberals,"[2680, 2687, 2694, 2695, 2706, 2709, 2718, 2726, 2765, 2780, 2817, 2844, 2845.076923, 2850.076923, 2850.076923, 3628.076923, 3628.435897, 3775.435897, 3934.435897, 3934.435897, 4021.435897, 1.435897, 0, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Leanne CASTLEY,Canberra Liberals,"[4601, 4602, 4614, 4617, 4621, 4626, 4634, 4660, 4702, 4743, 4802, 4872, 4877.384615, 4901.384615, 4901.384615, 5244.384615, 5244.743589, 5475.743589, 5729.743589, 5729.743589, 5809.743589, 7178.743589, 7179.102563, 7356.102563, 7356.102563, 7600.102563, 7600.102563, 7681.102563, 7749.102563, 7824.102563, 12944.102563]",yerrabi
Alistair COE,Canberra Liberals,"[8685, 8691, 8700, 8705, 8705, 8708, 8712, 8730, 8786, 8826, 8878, 8924, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910, 8910]",yerrabi
Andrew BRADDOCK,The ACT Greens,"[3431, 3434, 3441, 3467, 3479, 3507, 3530, 3630, 3668, 3781, 3879, 4332, 4332.358974, 4406.358974, 4406.358974, 4518.358974, 4518.358974, 4835.358974, 5215.358974, 5215.358974, 7012.358974, 7239.358974, 7239.358974, 7556.358974, 7556.358974, 8125.358974, 8125.358974, 8630.358974, 9208.358974, 8910, 8910]",yerrabi
Mainul HAQUE,The ACT Greens,"[2009, 2030, 2032, 2034, 2040, 2045, 2051, 2127, 2147, 2212, 2228, 2348, 2348, 2410, 2410, 2450, 2450, 2686, 2853, 2853, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
John KEARSLEY,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[331, 331, 333, 343, 358, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Scott YOUNG,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[363, 367, 380, 386, 397, 634, 654, 769, 809, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Bethany WILLIAMS,Canberra Progressives,"[1128, 1130, 1144, 1152, 1319, 1340, 1380, 1427, 1457, 1616, 1634, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Mike STELZIG,Canberra Progressives,"[318, 319, 323, 325, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Stephanie POLLARD,David Pollard Independent,"[319, 321, 334, 343, 368, 377, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
